Month (mm-yy),Sapling no.,Planting hole,Weeding treatment,Fertiliser treatment,Peat condition,Sun exposure,Insect herbivory,Dead/Live,Height (cm),DBH (cm),No. of leaves,RGR for Height,RGR for DBH
Jun-21,05-01-27,149,Weeding,None,Partial,High,High,Live,177.3,0.76,14,-0.00872,-0.02573
Jun-21,03-01-20,150,No weeding,Urea,Partial,Partial,Low,Live,188,1.49,19,-0.06576,0
Jun-21,78-01-03,151,Weeding,Mixed,Partial,Partial,High,Live,178,0.91,9,-0.00187,-0.03144
Jun-21,67-01-04,152,No weeding,TSP,Partial,High,NA,Live,175,0.64,0,-0.02565,0.016
Jun-21,04-01-07,153,Weeding,None,Partial,High,Low,Live,178,1.05,24,0.00377,0.01961
Jun-21,69-01-01,154,No weeding,Urea,Partial,High,Low,Live,192.4,0.5,3,0.00401,-0.01942
Jun-21,02-01-04,155,Weeding,Mixed,Waterlogged,High,NA,Live,211,1.17,NA,NA,NA
Jun-21,77-01-06,156,No weeding,TSP,Partial,High,NA,Live,216,1.17,NA,NA,NA
Jun-21,41-01-18,157,Weeding,None,Partial,High,NA,Live,181.5,0.63,NA,NA,NA
Jun-21,75-01-06,158,No weeding,Urea,Partial,High,Low,Live,187,0.87,3,0.00304,0.11834
Jun-21,09-01-25,159,Weeding,Mixed,Partial,High,NA,Live,175,1.52,NA,NA,NA
Jun-21,77-01-20,160,No weeding,TSP,Waterlogged,Partial,Low,Live,177,1.72,33,-0.00056,-0.07438
Jun-21,45-01-07,161,Weeding,None,Partial,High,NA,Live,186,0.82,NA,NA,NA
Jun-21,08-01-04,162,No weeding,Urea,Partial,Partial,Intermediate,Live,178,1.32,18,0.08727,0.34422
Jun-21,43-01-03,163,Weeding,Mixed,Partial,High,NA,Live,78,0.56,NA,NA,NA
Jun-21,40-01-01,164,No weeding,TSP,Partial,High,Low,Live,150.5,0.79,10,-0.05255,0.00425
Jun-21,45-01-08,165,Weeding,None,Waterlogged,High,Low,Live,178,1.37,NA,NA,NA
Jun-21,75-01-12,166,No weeding,Urea,Partial,High,High,Live,179.5,0.75,7,0.00449,0.0376
Jun-21,52-01-13,167,No weeding,None,Partial,Partial,NA,Live,187,0.83,NA,NA,NA
Jun-21,49-01-09,168,Weeding,Urea,Partial,Low,NA,Live,171,0.83,NA,NA,NA
Jun-21,78-01-30,169,No weeding,Mixed,Dry,Low,NA,Live,192,1.21,NA,NA,NA
Jun-21,18-01-07,170,No weeding,TSP,Partial,Low,NA,Live,94,0.89,NA,NA,NA
Jun-21,71-01-02,171,No weeding,None,Partial,Partial,None,Live,176,1.23,22,0.05663,0.02242
Jun-21,68-01-07,172,Weeding,Urea,Partial,High,Intermediate,Live,196,0.95,12,0.03455,0.01802
Jun-21,25-01-09,173,No weeding,Mixed,Partial,Partial,NA,Live,158,0.45,NA,NA,NA
Jun-21,78-01-05,174,Weeding,TSP,Dry,Partial,Low,Live,175.5,1.37,15,0,0.0414
Jun-21,03-01-23,175,No weeding,None,Dry,Partial,Low,Live,210,1.3,11,0.01295,0.01845
